item_id,item_text_clean,dataset,extra,question,n_options,options_json
Exhausted,Exhausted,Openneuro_ds005237,,Indicate the extent to which you have been feeling this way recently: exhausted.,5,"[{""value"": ""0"", ""label"": ""Not at all""}, {""value"": ""1"", ""label"": ""A little""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Quite a bit""}, {""value"": ""4"", ""label"": ""Extremely""}]"
Fatigued,Fatigued,Openneuro_ds005237,,Indicate the extent to which you have been feeling this way recently: fatigued.,5,"[{""value"": ""0"", ""label"": ""Not at all""}, {""value"": ""1"", ""label"": ""A little""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Quite a bit""}, {""value"": ""4"", ""label"": ""Extremely""}]"
Forgetful,Forgetful,Openneuro_ds005237,,Indicate the extent to which you have been feeling this way recently: forgetful.,5,"[{""value"": ""0"", ""label"": ""Not at all""}, {""value"": ""1"", ""label"": ""A little""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Quite a bit""}, {""value"": ""4"", ""label"": ""Extremely""}]"
Furious,Furious,Openneuro_ds005237,,Indicate the extent to which you have been feeling this way recently: furious.,5,"[{""value"": ""0"", ""label"": ""Not at all""}, {""value"": ""1"", ""label"": ""A little""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Quite a bit""}, {""value"": ""4"", ""label"": ""Extremely""}]"
"Generally. I am ""calm cool and collected.""","Generally. I am ""calm cool and collected.""",Openneuro_ds005237,,"Generally. I am ""calm, cool, and collected."".",4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I am a steady person,Generally. I am a steady person,Openneuro_ds005237,,Generally. I am a steady person.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I am content,Generally. I am content,Openneuro_ds005237,,Generally. I am content.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I am happy,Generally. I am happy,Openneuro_ds005237,,Generally. I am happy.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I feel inadequate,Generally. I feel inadequate,Openneuro_ds005237,,Generally. I feel inadequate.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I feel like a failure,Generally. I feel like a failure,Openneuro_ds005237,,Generally. I feel like a failure.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I feel nervous and restless,Generally. I feel nervous and restless,Openneuro_ds005237,,Generally. I feel nervous and restless.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I feel pleasant,Generally. I feel pleasant,Openneuro_ds005237,,Generally. I feel pleasant.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I feel rested.,Generally. I feel rested.,Openneuro_ds005237,,Generally. I feel rested.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I feel satisfied with myself,Generally. I feel satisfied with myself,Openneuro_ds005237,,Generally. I feel satisfied with myself.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I feel secure,Generally. I feel secure,Openneuro_ds005237,,Generally. I feel secure.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I feel that difficulties are piling up so fast that I cannot overcome them.,Generally. I feel that difficulties are piling up so fast that I cannot overcome them.,Openneuro_ds005237,,Generally. I feel that difficulties are piling up so fast that I cannot overcome them.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I get in a state of tension or turmoil as I think over my recent concerns and interests,Generally. I get in a state of tension or turmoil as I think over my recent concerns and interests,Openneuro_ds005237,,Generally. I get in a state of tension or turmoil as I think over my recent concerns and interests.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I have disturbing thoughts,Generally. I have disturbing thoughts,Openneuro_ds005237,,Generally. I have disturbing thoughts.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I lack self-confidence,Generally. I lack self-confidence,Openneuro_ds005237,,Generally. I lack self-confidence.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I make decisions easily,Generally. I make decisions easily,Openneuro_ds005237,,Generally. I make decisions easily.,4,"[{""value"": ""1"", ""label"": ""Very much so""}, {""value"": ""2"", ""label"": ""Moderately so""}, {""value"": ""3"", ""label"": ""Somewhat""}, {""value"": ""4"", ""label"": ""Not at all so""}]"
Generally. I take disappointments so keenly that I can't put them out of my mind,Generally. I take disappointments so keenly that I can't put them out of my mind,Openneuro_ds005237,,Generally. I take disappointments so keenly that I can't put them out of my mind.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I wish I couid be as happy as others seem to be,Generally. I wish I couid be as happy as others seem to be,Openneuro_ds005237,,Generally. I wish I couid be as happy as others seem to be.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. I worry too much over something that really doesn't matter,Generally. I worry too much over something that really doesn't matter,Openneuro_ds005237,,Generally. I worry too much over something that really doesn't matter.,4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Generally. Some unimportant thought runs through my mind and bothers me,Generally. Some unimportant thought runs through my mind and bothers me,Openneuro_ds005237,,"Generally, some unimportant thought runs through my mind and bothers me.",4,"[{""value"": ""1"", ""label"": ""Not at all so""}, {""value"": ""2"", ""label"": ""Somewhat""}, {""value"": ""3"", ""label"": ""Moderately so""}, {""value"": ""4"", ""label"": ""Very much so""}]"
Gloomy,Gloomy,Openneuro_ds005237,,Indicate the extent to which you have been feeling this way recently: gloomy.,5,"[{""value"": ""0"", ""label"": ""Not at all""}, {""value"": ""1"", ""label"": ""A little""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Quite a bit""}, {""value"": ""4"", ""label"": ""Extremely""}]"
Grouchy,Grouchy,Openneuro_ds005237,,Indicate the extent to which you have been feeling this way recently: grouchy.,5,"[{""value"": ""0"", ""label"": ""Not at all""}, {""value"": ""1"", ""label"": ""A little""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Quite a bit""}, {""value"": ""4"", ""label"": ""Extremely""}]"
How often do you have nightmares?,How often do you have nightmares?,Openneuro_ds005237,,How often do you have nightmares?,5,"[{""value"": ""1"", ""label"": ""Never""}, {""value"": ""2"", ""label"": ""Once a year""}, {""value"": ""3"", ""label"": ""Once a month""}, {""value"": ""4"", ""label"": ""Once a week""}, {""value"": ""5"", ""label"": ""Every night""}]"
How popular did you feel? (Reverse coded),How popular did you feel? (Reverse coded),Openneuro_ds005237,,"When you were in school (roughly ages 6 to 9), how popular did you feel?",5,"[{""value"": ""1"", ""label"": ""Very""}, {""value"": ""2"", ""label"": ""Moderately""}, {""value"": ""3"", ""label"": ""Average""}, {""value"": ""4"", ""label"": ""Below average""}, {""value"": ""5"", ""label"": ""Not at all""}]"
How soon after you wake up do you smoke your first cigarette?,How soon after you wake up do you smoke your first cigarette?,Openneuro_ds005237,,How soon after you wake up do you smoke your first cigarette?,4,"[{""value"": ""0"", ""label"": ""After 60 minutes""}, {""value"": ""1"", ""label"": ""31-60 minutes""}, {""value"": ""2"", ""label"": ""6-30 minutes""}, {""value"": ""3"", ""label"": ""Within 5 minutes/0-5 minutes""}]"
I act very set in my ways,I act very set in my ways,Openneuro_ds005237,,I act very set in my ways.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I alter my daily routine by trying something different,I alter my daily routine by trying something different,Openneuro_ds005237,,I alter my daily routine by trying something different.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I am a cheerful high-spirited person.,I am a cheerful high-spirited person.,Openneuro_ds005237,,"I am a cheerful, high-spirited person.",5,"[{""value"": ""1"", ""label"": ""Strongly Disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am a productive person who always gets the job done.,I am a productive person who always gets the job done.,Openneuro_ds005237,,I am a productive person who always gets the job done.,5,"[{""value"": ""1"", ""label"": ""Strongly Disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am a very active person.,I am a very active person.,Openneuro_ds005237,,I am a very active person.,5,"[{""value"": ""1"", ""label"": ""Strongly Disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am a very ambitious person.,I am a very ambitious person.,Openneuro_ds005237,,I am a very ambitious person.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am better at saving money than most people,I am better at saving money than most people,Openneuro_ds005237,,I am better at saving money than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am comfortable with unexpected changes in plans,I am comfortable with unexpected changes in plans,Openneuro_ds005237,,I am comfortable with unexpected changes in plans.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I am eager to start work on any assigned duty.,I am eager to start work on any assigned duty.,Openneuro_ds005237,,I am eager to start work on any assigned duty.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am flexible about how things should be done,I am flexible about how things should be done,Openneuro_ds005237,,I am flexible about how things should be done.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I am good at communicating my feelings to others.[ORG_ITM-80],I am good at communicating my feelings to others.[ORG_ITM-80],Openneuro_ds005237,,I am good at communicating my feelings to others.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am good at making small talk,I am good at making small talk,Openneuro_ds005237,,I am good at making small talk.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I am more energetic and tire less quickly than most people,I am more energetic and tire less quickly than most people,Openneuro_ds005237,,I am more energetic and tire less quickly than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am more hard-working than most people,I am more hard-working than most people,Openneuro_ds005237,,I am more hard-working than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am more likely to cry at a sad movie than most people,I am more likely to cry at a sad movie than most people,Openneuro_ds005237,,I am more likely to cry at a sad movie than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am more of a perfectionist than most people.,I am more of a perfectionist than most people.,Openneuro_ds005237,,I am more of a perfectionist than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am more sentimental than most people,I am more sentimental than most people,Openneuro_ds005237,,I am more sentimental than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am much more reserved and controlled than most people,I am much more reserved and controlled than most people,Openneuro_ds005237,,I am much more reserved and controlled than most people.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am not a cheerful optimist.,I am not a cheerful optimist.,Openneuro_ds005237,,I am not a cheerful optimist.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Disagree""}, {""value"": ""5"", ""label"": ""Strongly Disagree""}]"
I am not a very methodical person.,I am not a very methodical person.,Openneuro_ds005237,,I am not a very methodical person.,5,"[{""value"": ""1"", ""label"": ""Strongly Disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not a worrier.,I am not a worrier.,Openneuro_ds005237,,I am not a worrier.,5,"[{""value"": ""1"", ""label"": ""Strongly Disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I am not shy with strangers at all.,I am not shy with strangers at all.,Openneuro_ds005237,,I am not shy with strangers at all.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am often described as an overachiever.,I am often described as an overachiever.,Openneuro_ds005237,,I am often described as an overachiever.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am preoccupied with what I think and feel about what I have experienced,I am preoccupied with what I think and feel about what I have experienced,Openneuro_ds005237,,I am preoccupied with what I think and feel about what I have experienced.,5,"[{""value"": ""1"", ""label"": ""Almost never""}, {""value"": ""2"", ""label"": ""Sometimes""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Very often""}, {""value"": ""5"", ""label"": ""Almost always""}]"
I am seldom sad or depressed.,I am seldom sad or depressed.,Openneuro_ds005237,,I am seldom sad or depressed.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Disagree""}, {""value"": ""5"", ""label"": ""Strongly Disagree""}]"
I am strongly moved by sentimental appeals (like when asked to help crippled children),I am strongly moved by sentimental appeals (like when asked to help crippled children),Openneuro_ds005237,,I am strongly moved by sentimental appeals (like when asked to help crippled children).,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am usually able to get other people to believe me even when I know that what I am saying is exaggerated or untrue,I am usually able to get other people to believe me even when I know that what I am saying is exaggerated or untrue,Openneuro_ds005237,,"I am usually able to get other people to believe me, even when I know that what I am saying is exaggerated or untrue.",5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am usually confident that I can easily do things that most people would consider dangerous (such as driving an automobile fast on a wet or icy road).,I am usually confident that I can easily do things that most people would consider dangerous (such as driving an automobile fast on a wet or icy road).,Openneuro_ds005237,,I am usually confident that I can easily do things that most people would consider dangerous (such as driving an automobile fast on a wet or icy road).,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am usually eager to get going on any job I have to do,I am usually eager to get going on any job I have to do,Openneuro_ds005237,,I am usually eager to get going on any job I have to do.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am usually so determined that I continue to work long after other people have given up.,I am usually so determined that I continue to work long after other people have given up.,Openneuro_ds005237,,I am usually so determined that I continue to work long after other people have given up.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I am warm and friendly in my interactions with others,I am warm and friendly in my interactions with others,Openneuro_ds005237,,I am warm and friendly in my interactions with others.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I amIntrigued by the patternsI findIn art and nature.,I amIntrigued by the patternsI findIn art and nature.,Openneuro_ds005237,,I am Intrigued by the patternsI find in art and nature.,5,"[{""value"": ""1"", ""label"": ""Strongly Disagree""}, {""value"": ""2"", ""label"": ""Disagree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Agree""}, {""value"": ""5"", ""label"": ""Strongly agree""}]"
I appreciate the beauty of a fresh snowfall.,I appreciate the beauty of a fresh snowfall.,Openneuro_ds005237,,I appreciate the beauty of a fresh snowfall.,6,"[{""value"": ""1"", ""label"": ""Very false for me""}, {""value"": ""2"", ""label"": ""Moderately false for me""}, {""value"": ""3"", ""label"": ""Slightly false for me""}, {""value"": ""4"", ""label"": ""Slightly true for me""}, {""value"": ""5"", ""label"": ""Moderately true for me""}, {""value"": ""6"", ""label"": ""Very true for me""}]"
I believe letting students hear controversial speakers can only confuse and mislead them.,I believe letting students hear controversial speakers can only confuse and mislead them.,Openneuro_ds005237,,I believe letting students hear controversial speakers can only confuse and mislead them.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Disagree""}, {""value"": ""5"", ""label"": ""Strongly Disagree""}]"
I believe that most people will take advantage of youIf you let them.,I believe that most people will take advantage of youIf you let them.,Openneuro_ds005237,,I believe that most people will take advantage of youIf you let them.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Disagree""}, {""value"": ""5"", ""label"": ""Strongly Disagree""}]"
I believe we should look to our religious authorities for decisions on moral issues.,I believe we should look to our religious authorities for decisions on moral issues.,Openneuro_ds005237,,I believe we should look to our religious authorities for decisions on moral issues.,5,"[{""value"": ""1"", ""label"": ""Strongly agree""}, {""value"": ""2"", ""label"": ""Agree""}, {""value"": ""3"", ""label"": ""Neutral""}, {""value"": ""4"", ""label"": ""Disagree""}, {""value"": ""5"", ""label"": ""Strongly Disagree""}]"
I can tell when it is time to change topics in coversation,I can tell when it is time to change topics in coversation,Openneuro_ds005237,,I can tell when it is time to change topics in coversation.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I can tell when someone is not interested in what I am saying,I can tell when someone is not interested in what I am saying,Openneuro_ds005237,,I can tell when someone is not interested in what I am saying.,6,"[{""value"": ""1"", ""label"": ""Very rarely""}, {""value"": ""2"", ""label"": ""Rarely""}, {""value"": ""3"", ""label"": ""Occasionally""}, {""value"": ""4"", ""label"": ""Somewhat often""}, {""value"": ""5"", ""label"": ""Often""}, {""value"": ""6"", ""label"": ""Very often""}]"
I can usually accept other people as they are even when they are very different from me.,I can usually accept other people as they are even when they are very different from me.,Openneuro_ds005237,,"I can usually accept other people as they are, even when they are very different from me.",5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I can usually do a good job of stretching the truth to tell a funnier story or to play a joke on someone,I can usually do a good job of stretching the truth to tell a funnier story or to play a joke on someone,Openneuro_ds005237,,I can usually do a good job of stretching the truth to tell a funnier story or to play a joke on someone.,5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I cannot have any peace of mind if I treat other people unfairly even if they are unfair to me,I cannot have any peace of mind if I treat other people unfairly even if they are unfair to me,Openneuro_ds005237,,"I cannot have any peace of mind if I treat other people unfairly, even if they are unfair to me.",5,"[{""value"": ""1"", ""label"": ""Definitely false""}, {""value"": ""2"", ""label"": ""Mostly or probably false""}, {""value"": ""3"", ""label"": ""Neither true nor false or about equally true or false""}, {""value"": ""4"", ""label"": ""Mostly or probably true""}, {""value"": ""5"", ""label"": ""Definitely true""}]"
I cant calm down once I am upset,I cant calm down once I am upset,Openneuro_ds005237,,I cant calm down once I am upset.,4,"[{""value"": ""0"", ""label"": ""Never true""}, {""value"": ""1"", ""label"": ""Sometimes true""}, {""value"": ""2"", ""label"": ""Most time true""}, {""value"": ""3"", ""label"": ""Always true""}]"
I continually think how horrible the situation has been,I continually think how horrible the situation has been,Openneuro_ds005237,,I continually think how horrible the situation has been.,5,"[{""value"": ""1"", ""label"": ""Almost never""}, {""value"": ""2"", ""label"": ""Sometimes""}, {""value"": ""3"", ""label"": ""Often""}, {""value"": ""4"", ""label"": ""Very often""}, {""value"": ""5"", ""label"": ""Almost always""}]"
